id	name	population	
ESH	Western Sahara	"0"	
SUR	Suriname	"15.6"	
173	Malta	"14"	not listed
174	Maldives	"16"	not listed
BRN	Brunei	"0"	
BLZ	Belize	"21.7"	
BHS	"Bahamas, The"	"12.7"	
ISL	Iceland	"7.6"	
179	French Polynesia	"0"	not listed
180	Barbados	"14"	not listed
181	Mayotte	"231139"	not listed
NCL	New Caledonia	"0"	
183	Netherlands Antilles	"0"	not listed
VUT	Vanuatu	"6.3"	
185	Samoa	"0"	not listed
186	Sao Tome and Principe	"12.7"	not listed
187	Saint Lucia	"160922"	not listed
188	Tonga	"0"	not listed
189	Virgin Islands	"109775"	not listed
190	Grenada	"107818"	not listed
191	"Micronesia, Federated States of"	"107154"	not listed
192	Aruba	"104589"	not listed
193	Saint Vincent and the Grenadines	"104217"	not listed
194	Kiribati	"99482"	not listed
195	Jersey	"91812"	not listed
196	Seychelles	"88340"	not listed
197	Antigua and Barbuda	"86754"	not listed
198	Andorra	"84525"	not listed
199	Isle of Man	"0"	not listed
DOM	Dominica	"13.5"	
201	Bermuda	"68268"	not listed
202	American Samoa	"0"	not listed
203	Marshall Islands	"0"	not listed
204	Guernsey	"65632"	not listed
GRL	Greenland	"0"	
206	Cayman Islands	"50209"	not listed
207	Saint Kitts and Nevis	"49898"	not listed
208	Faroe Islands	"49057"	not listed
209	Northern Mariana Islands	"48317"	not listed
210	Liechtenstein	"35002"	not listed
211	San Marino	"31477"	not listed
212	Monaco	"30586"	not listed
213	Saint Martin	"30235"	not listed
214	Gibraltar	"28877"	not listed
215	British Virgin Islands	"24939"	not listed
216	Turks and Caicos Islands	"23528"	not listed
217	Palau	"20879"	not listed
218	Akrotiri	"15700"	not listed
219	Dhekelia	"15700"	not listed
220	Wallis and Futuna	"15343"	not listed
221	Anguilla	"14764"	not listed
222	Nauru	"14264"	not listed
223	Cook Islands	"11488"	not listed
224	Tuvalu	"10472"	not listed
225	"Saint Helena, Ascension, and Tristan da Cunha"	"7670"	not listed
226	Saint Barthelemy	"7406"	not listed
227	Saint Pierre and Miquelon	"6010"	not listed
228	Montserrat	"5118"	not listed
FLK	Falkland Islands (Islas Malvinas)	"3140"	
230	Norfolk Island	"2155"	not listed
231	Svalbard	"2067"	not listed
232	Christmas Island	"1402"	not listed
233	Tokelau	"1400"	not listed
234	Niue	"1354"	not listed
235	Holy See (Vatican City)	829	not listed
236	Cocos (Keeling) Islands	596	not listed
237	Pitcairn Islands	48	not listed
ATA	Antarctica	0	
ATF	French Southern and Antarctic Lands	0
SDS	South Sudan	"29.3" 
ABV	Somaliland	"0"
OSA	Kosovo	"0"
